00000000 -> a4000000 (1mB) (0xa4000c12)
10000000 -> 10000000 (1mB) (0x10000c1e)
10100000 -> 10100000 (1mB) (0x10100c1e)
10200000 -> 10200000 (1mB) (0x10200c1e)
10300000 -> 10300000 (1mB) (0x10300c1e)
10400000 -> 10400000 (1mB) (0x10400c1e)
10500000 -> 10500000 (1mB) (0x10500c1e)
10600000 -> 10600000 (1mB) (0x10600c1e)
10700000 -> 10700000 (1mB) (0x10700c1e)
10800000 -> 10800000 (1mB) (0x10800c1e)
10900000 -> 10900000 (1mB) (0x10900c1e)
10a00000 -> 10a00000 (1mB) (0x10a00c1e)
10b00000 -> 10b00000 (1mB) (0x10b00c1e)
10c00000 -> 10c00000 (1mB) (0x10c00c1e)
10d00000 -> 10d00000 (1mB) (0x10d00c1e)
10e00000 -> 10e00000 (1mB) (0x10e00c1e)
10f00000 -> 10f00000 (1mB) (0x10f00c1e)
11000000 -> 11000000 (1mB) (0x11000c1e)
11100000 -> 11100000 (1mB) (0x11100c1e)
11200000 -> 11200000 (1mB) (0x11200c1e)
11300000 -> 11300000 (1mB) (0x11300c1e)
11400000 -> 11400000 (1mB) (0x11400c1e)
11500000 -> 11500000 (1mB) (0x11500c1e)
11600000 -> 11600000 (1mB) (0x11600c1e)
11700000 -> 11700000 (1mB) (0x11700c1e)
11800000 -> 11800000 (1mB) (0x11800c1e)
11900000 -> 11900000 (1mB) (0x11900c1e)
11a00000 -> 11a00000 (1mB) (0x11a00c1e)
11b00000 -> 11b00000 (1mB) (0x11b00c1e)
11c00000 -> 11c00000 (1mB) (0x11c00c1e)
11d00000 -> 11d00000 (1mB) (0x11d00c1e)
11e00000 -> 11e00000 (1mB) (0x11e00c1e)
11f00000 -> 11f00000 (1mB) (0x11f00c1e)
12000000 -> 12000000 (1mB) (0x12000c1e)
12100000 -> 12100000 (1mB) (0x12100c1e)
12200000 -> 12200000 (1mB) (0x12200c1e)
12300000 -> 12300000 (1mB) (0x12300c1e)
12400000 -> 12400000 (1mB) (0x12400c1e)
12500000 -> 12500000 (1mB) (0x12500c1e)
12600000 -> 12600000 (1mB) (0x12600c1e)
12700000 -> 12700000 (1mB) (0x12700c1e)
12800000 -> 12800000 (1mB) (0x12800c1e)
12900000 -> 12900000 (1mB) (0x12900c1e)
12a00000 -> 12a00000 (1mB) (0x12a00c1e)
12b00000 -> 12b00000 (1mB) (0x12b00c1e)
12c00000 -> 12c00000 (1mB) (0x12c00c1e)
12d00000 -> 12d00000 (1mB) (0x12d00c1e)
12e00000 -> 12e00000 (1mB) (0x12e00c1e)
12f00000 -> 12f00000 (1mB) (0x12f00c1e)
13000000 -> 13000000 (1mB) (0x13000c1e)
13100000 -> 13100000 (1mB) (0x13100c1e)
13200000 -> 13200000 (1mB) (0x13200c1e)
13300000 -> 13300000 (1mB) (0x13300c1e)
13400000 -> 13400000 (1mB) (0x13400c1e)
